superfamily_id	anno_empty_count	anno_empty_perc	anno_nonempty_count	anno_nonempty_perc	anno_total_count
3.40.30.10	207	50	207	50	414
3.10.450.50	35	62	21	37	56
3.40.50.300	1129	46	1290	53	2419
3.40.50.970	6	4	120	95	126
1.10.8.10	89	43	114	56	203
1.10.8.50	10	20	39	79	49
1.10.8.60	201	56	157	43	358
1.10.10.10	1015	83	202	16	1217
1.10.132.10	0	0	5	100	5
1.10.150.20	40	14	228	85	268
1.10.150.240	2	4	43	95	45
1.10.230.10	2	8	21	91	23
1.10.238.70	1	50	1	50	2
1.10.240.10	2	3	49	96	51
1.10.340.30	4	12	28	87	32
1.10.390.10	0	0	6	100	6
1.10.400.10	37	86	6	13	43
1.10.420.10	0	0	12	100	12
1.10.440.10	4	80	1	20	5
1.10.472.20	0	0	2	100	2
1.10.489.10	0	0	2	100	2
1.10.510.10	82	25	241	74	323
1.10.520.10	0	0	4	100	4
1.10.530.10	10	24	31	75	41
1.10.530.40	2	20	8	80	10
1.10.560.10	31	73	11	26	42
1.10.575.10	0	0	4	100	4
1.10.579.10	0	0	3	100	3
1.10.580.10	2	20	8	80	10
1.10.590.10	0	0	1	100	1
1.10.600.10	14	35	26	65	40
1.10.606.10	0	0	2	100	2
1.10.620.20	0	0	25	100	25
1.10.630.10	15	18	67	81	82
1.10.640.10	2	25	6	75	8
1.10.645.10	0	0	6	100	6
1.10.760.10	22	39	34	60	56
1.10.800.10	0	0	4	100	4
1.10.1040.10	8	10	71	89	79
1.10.1160.10	4	28	10	71	14
1.10.1200.10	77	45	93	54	170
1.10.1200.90	0	0	1	100	1
1.10.1280.10	2	14	12	85	14
1.10.1390.10	0	0	25	100	25
1.10.1530.10	0	0	4	100	4
1.10.1670.10	4	20	16	80	20
1.10.3730.10	2	9	20	90	22
1.20.5.100	18	72	7	28	25
1.20.5.140	0	0	1	100	1
1.20.20.10	10	62	6	37	16
1.20.58.80	0	0	1	100	1
1.20.59.10	1	10	9	90	10
1.20.90.10	3	18	13	81	16
1.20.120.330	22	62	13	37	35
1.20.120.380	0	0	2	100	2
1.20.140.10	8	12	55	87	63
1.20.144.10	7	29	17	70	24
1.20.200.10	1	11	8	88	9
3.10.170.20	0	0	2	100	2
1.20.1050.10	23	25	67	74	90
1.20.1090.10	1	2	45	97	46
1.20.1220.12	0	0	2	100	2
1.20.1260.10	12	25	36	75	48
1.20.210.10	2	28	5	71	7
1.20.245.10	1	25	3	75	4
1.20.272.10	16	38	26	61	42
1.20.840.10	0	0	2	100	2
1.20.850.10	5	50	5	50	10
1.20.910.10	11	50	11	50	22
1.20.950.20	1	16	5	83	6
1.25.40.10	360	82	76	17	436
1.25.40.120	1	16	5	83	6
1.50.10.10	8	16	41	83	49
1.50.10.100	1	11	8	88	9
1.50.10.20	8	47	9	52	17
2.10.10.10	7	70	3	30	10
2.10.109.10	14	32	29	67	43
2.102.10.10	6	18	26	81	32
2.115.10.20	2	12	14	87	16
2.120.10.10	3	17	14	82	17
2.120.10.30	54	68	25	31	79
2.130.10.10	455	83	92	16	547
2.130.10.80	1	50	1	50	2
2.140.10.10	0	0	5	100	5
2.140.10.20	0	0	2	100	2
2.160.10.10	39	30	89	69	128
2.160.20.10	26	48	28	51	54
2.170.150.20	3	60	2	40	5
2.170.270.10	11	22	37	77	48
2.30.110.10	24	53	21	46	45
2.30.210.10	0	0	1	100	1
2.30.30.100	38	77	11	22	49
2.30.30.60	6	75	2	25	8
2.40.100.10	4	12	28	87	32
2.40.10.10	164	39	254	60	418
2.40.10.120	8	100	0	0	8
2.40.128.150	6	75	2	25	8
2.40.128.90	0	0	1	100	1
2.40.180.10	0	0	2	100	2
2.40.230.10	0	0	3	100	3
2.40.30.10	106	38	168	61	274
2.40.30.20	2	5	35	94	37
2.40.33.10	0	0	9	100	9
2.40.40.10	7	35	13	65	20
2.40.40.20	14	22	47	77	61
2.40.50.90	7	46	8	53	15
2.40.70.10	37	34	69	65	106
2.60.120.10	117	51	109	48	226
2.60.120.180	0	0	3	100	3
2.60.120.200	237	82	50	17	287
2.60.120.230	1	20	4	80	5
2.60.120.310	2	22	7	77	9
2.60.120.330	2	12	14	87	16
2.60.130.10	0	0	4	100	4
2.60.30.10	0	0	2	100	2
2.60.40.10	1786	77	529	22	2315
2.60.40.1250	0	0	3	100	3
2.60.40.200	3	27	8	72	11
2.60.40.420	55	33	107	66	162
2.60.40.730	0	0	1	100	1
2.70.100.10	0	0	1	100	1
2.70.40.10	4	22	14	77	18
2.70.70.10	9	37	15	62	24
2.70.98.10	5	16	26	83	31
2.70.98.20	0	0	2	100	2
3.10.129.10	34	34	65	65	99
3.10.130.10	7	31	15	68	22
3.10.170.10	0	0	7	100	7
3.10.180.10	15	30	35	70	50
3.10.200.10	0	0	1	100	1
3.10.20.30	54	45	66	55	120
3.10.20.70	0	0	7	100	7
3.10.270.10	0	0	2	100	2
3.10.310.10	1	1	50	98	51
3.10.450.30	2	33	4	66	6
3.10.50.40	5	4	114	95	119
3.20.100.10	1	33	2	66	3
3.20.10.10	1	4	22	95	23
3.20.110.10	0	0	12	100	12
3.20.14.10	0	0	1	100	1
3.20.16.10	8	100	0	0	8
3.20.190.10	1	7	13	92	14
3.20.19.10	0	0	12	100	12
3.20.20.10	0	0	9	100	9
3.20.20.100	2	8	22	91	24
3.20.20.105	1	33	2	66	3
3.20.20.110	0	0	7	100	7
3.20.20.120	1	4	20	95	21
3.20.20.140	14	14	82	85	96
3.20.20.150	1	5	19	95	20
3.20.20.190	9	29	22	70	31
3.20.20.20	2	20	8	80	10
3.20.20.210	0	0	7	100	7
3.20.20.220	1	11	8	88	9
3.20.20.240	0	0	3	100	3
3.20.20.30	6	35	11	64	17
3.20.20.300	0	0	6	100	6
3.20.20.350	0	0	1	100	1
3.20.20.40	0	0	1	100	1
3.20.20.60	0	0	18	100	18
3.20.20.70	23	10	202	89	225
3.20.20.80	23	16	116	83	139
3.20.70.20	1	8	11	91	12
3.30.1060.10	0	0	26	100	26
3.30.1130.10	4	8	44	91	48
3.30.1300.10	0	0	17	100	17
3.30.1330.40	0	0	6	100	6
3.30.1360.20	0	0	1	100	1
3.30.1380.10	2	14	12	85	14
3.30.1490.20	13	11	103	88	116
3.30.1490.50	0	0	1	100	1
3.30.1490.70	5	18	22	81	27
3.30.1540.10	0	0	1	100	1
3.30.1600.10	2	33	4	66	6
3.30.160.40	0	0	19	100	19
3.30.200.20	143	31	304	68	447
3.30.20.10	8	72	3	27	11
3.30.2140.10	0	0	1	100	1
3.30.2350.10	0	0	16	100	16
3.30.2410.10	9	37	15	62	24
3.30.300.10	0	0	58	100	58
3.30.300.30	53	27	140	72	193
3.30.30.30	7	63	4	36	11
3.30.310.130	1	20	4	80	5
3.30.360.10	9	7	111	92	120
3.30.365.10	3	15	17	85	20
3.30.386.10	0	0	2	100	2
3.30.390.30	1	2	39	97	40
3.30.413.10	2	10	18	90	20
3.30.420.10	69	36	122	63	191
3.30.420.40	103	38	162	61	265
3.30.428.10	7	25	21	75	28
3.30.429.10	4	15	22	84	26
3.30.43.10	9	12	63	87	72
3.30.460.10	38	36	65	63	103
3.30.465.10	30	35	55	64	85
3.30.470.10	2	12	14	87	16
3.30.470.20	10	7	129	92	139
3.30.470.30	5	17	23	82	28
3.30.479.10	0	0	5	100	5
3.30.499.10	0	0	12	100	12
3.30.540.10	2	6	28	93	30
3.30.559.10	76	37	129	62	205
3.30.565.10	53	21	190	78	243
3.30.572.10	1	14	6	85	7
3.30.590.10	2	20	8	80	10
3.30.70.100	51	42	69	57	120
3.30.70.1230	6	13	39	86	45
3.30.70.141	8	20	31	79	39
3.30.70.1470	4	50	4	50	8
3.30.70.340	0	0	9	100	9
3.30.70.420	0	0	3	100	3
3.30.70.560	0	0	1	100	1
3.30.70.580	0	0	30	100	30
